Name,Lat,Lon
Hardee Chinese & American Cusine,40.6619151,-73.9153639
McDonald's,40.6526983,-73.9231986
Kansas Chicken and Burger,40.6641531,-73.9238376
Richness,40.66393600000001,-73.9248989
Blendzville Cafe,40.6653926,-73.9228297
Simone's,40.6565045,-73.9301865
Nanni Health Food Store,40.6521698,-73.9277759
McDonald's,40.6561686,-73.9306141
Subway,40.66879459999999,-73.9176239
Tasty Caribbean NY,40.6521397,-73.9307597
Pizza Hut,40.6688607,-73.9175668
Fisherman's Cove,40.65185719999999,-73.9308034
The Hills Restaurant,40.65142199999999,-73.9329533
Gerizim Burger Factory,40.6698073,-73.9226276
McDonald's,40.669307,-73.912406
Dunkin',40.6463934,-73.9132448
Pitkin Seafood,40.6694407,-73.9114369
Pizza Hut,40.6459645,-73.9146565
Sal & Paul's Pizzeria,40.669406,-73.911043
Dunkin',40.66814,-73.9310068
Linda's,40.6522623,-73.9267767
Brownsville Community Culinary Center,40.6688986,-73.90782
$1.50 Hot Pizza Utica,40.66917710000001,-73.9308666
Crown Grill Chicken and Salad,40.67005880000001,-73.9096558
Burger King,40.6574543,-73.9006452
Crown Fried Chicken,40.6693571,-73.906462
Izzy's Brooklyn Smokehouse,40.664888,-73.9368432
Soldier's,40.67079409999999,-73.9304809
Dunkin',40.6726242,-73.9115007
Stumpy's Spot 2,40.6679935,-73.9032452
Fefitas,40.6693443,-73.9335585
Topaze,40.6513334,-73.9324515
Ooh La La Lounge and Bar,40.6741103,-73.9193079
Island Burger,40.66170930000001,-73.93178
Hong Li,40.6706561,-73.9056844
Burger King,40.65275630000001,-73.9195159
Shun Fat Kitchen,40.6695465,-73.9098533
michees,40.662778,-73.926607
PJ Caribbean Restaurant,40.670922,-73.933989
Wendy's,40.6485572,-73.9145914
Brooklyn Artisan Bakehouse,40.66407900000001,-73.9402156
Domino's Pizza,40.6614114,-73.9200247
Flavors Paradise,40.6708596,-73.9039913
China Restaurant,40.6502778,-73.93
Shell,40.6612361,-73.9205896
Hardee on Utica,40.6716898,-73.9306544
Steph's Cake Shop,40.6457939,-73.903244
Olive Garden Italian Restaurant,40.65149299999999,-73.869339
Red Lobster,40.65095600000001,-73.870081
Lindenwood Diner,40.66985100000001,-73.8574618
La Villa Pizzeria,40.6665391,-73.8521114
Kennedy Fried Chicken Pizza and Juice Bar,40.6665269,-73.8829093
Buffalo Wild Wings,40.6552978,-73.868096
Smashburger,40.65345629999999,-73.8715154
Panera Bread,40.65341099999999,-73.8714924
Pizza Studio,40.65326260000001,-73.8715863
Applebee's Grill + Bar,40.6539577,-73.8734243
Dunkin',40.65086799999999,-73.874035
City Fresh Supermarket.,40.6467159,-73.8838041
Santo Domingo Restaurant,40.6677721,-73.8789127
Crown Fried Chicken & Pizza,40.6667772,-73.8813239
IHOP,40.6501209,-73.8900753
Domino's Pizza,40.6541161,-73.886797
Jade Linden,40.66978470000001,-73.856884
Kennedy chicken Shake ?€?n Burger,40.6553066,-73.8875919
Little Caesars Pizza,40.653619,-73.887711
Crown Fried Chicken & Pizza,40.6726283,-73.8743494
Jus Chill,40.6646756,-73.8872083
Checkers,40.6583674,-73.8898373
Popeyes Louisiana Kitchen,40.6569827,-73.889865
Policano?€?s Italian Sausage,40.6706255,-73.856099
Linden Fried Chicken,40.6682749,-73.8684798
Dunkin',40.6591106,-73.8905342
Papa Johns Pizza,40.6551145,-73.8875197
Golden China,40.671596,-73.881446
All American Bagel & Barista Company,40.6668359,-73.8507508
Panda Kitchen,40.6552282,-73.8875086
Royal,40.65511250000001,-73.8875049
Dunkin',40.6665913,-73.8520227
Armandos Pizza,40.6466717,-73.8834667
Dunkin',40.6722931,-73.8565304
Stanley Coffee Shop,40.6595333,-73.8839955
Appayon,40.6753916,-73.8702295
Crown Fried Chicken & Pizza,40.6753201,-73.8657611
McDonald's,40.6701465,-73.8603263
Three Brother's,40.6599487,-73.8850488
Subway,40.649363,-73.8893499
Caricom Foods,40.66369229999999,-73.8723552
McDonald's,40.6578342,-73.8897211
Crown Fried Chicken,40.66069919999999,-73.8848584
Original Napoli's Pizza,40.6732204,-73.869725
Golden Krust Caribbean Restaurant,40.646679,-73.8833024
Wendy's,40.6581008,-73.8907707
China Star,40.6466933,-73.8835078
Boston Raw Food/Kent's Natural Blend juices,40.6577851,-73.8729815
Dunkin',40.654879,-73.869384
Fusion East,40.65593749999999,-73.8733912
Crown Fried Chicken & Pizza,40.65541940000001,-73.8729178
Red Crab Juicy Seafood,40.6542755,-73.8668077
Dallas BBQ,40.6542755,-73.8668077
Sally?€?s Caribbean Restaurant,40.6542755,-73.8668077
Five Guys,40.6540962,-73.8672625
International Coffee Shop,40.6617689,-73.8734693
Pizza Hut Express,40.6529944,-73.870071
Across The Islands Cuisine,40.657696,-73.8764091
Chick-fil-A,40.6524063,-73.8710342
Uluangie's Hawaiian Shave Ice,40.66187350000001,-73.877761
Beckett's Sports Bar,40.7041262,-74.0103423
The Seaport,40.70647830000001,-74.0032751
Delmonico's,40.7050268,-74.0102557
Harry's,40.7046763,-74.0097371
The Capital Grille,40.707847,-74.010226
Trinity Place,40.708882,-74.0114326
Ulysses',40.70445409999999,-74.0100116
Stone Street Tavern,40.7042597,-74.0102413
The View at Battery Park Beer Garten,40.7015278,-74.0151
Tajin,40.7077343,-74.013552
Harry's Italian,40.707462,-74.0067869
Mad Dog & Beans Mexican Cantina,40.70418519999999,-74.0102748
Kest?? Pizza e Vino,40.70927729999999,-74.0049159
Shake Shack Battery Park City,40.7152189,-74.0148807
Red Mango,40.70997029999999,-74.00671
Len's Papaya,40.7013064,-74.0132133
Starbucks,40.711265,-74.0155673
Chipotle Mexican Grill,40.7042968,-74.012958
"The Dead Rabbit, New York City",40.70326850000001,-74.0110218
Starbucks,40.704655,-74.009
